Date,Open,Close,High,Low
13/04/2011,15.92,15.92,17.02,10
14/04/2011,15.92,15.92,17.02,10
15/04/2011,15.92,16.3,17.02,10
18/04/2011,16.3,16.31,17.02,10
19/04/2011,16.31,16.31,17.02,10
20/04/2011,16.31,16.32,17.02,10
21/04/2011,16.32,16.32,17.02,10
26/04/2011,16.32,16.32,17.02,10
27/04/2011,16.32,16.32,17.02,10
28/04/2011,16.32,16.32,17.02,10
29/04/2011,16.32,16.34,17.02,10
03/05/2011,16.34,16.35,17.02,10
04/05/2011,16.35,16.35,17.02,10
05/05/2011,16.35,16.79,17.02,10
06/05/2011,16.79,16.79,17.02,10
09/05/2011,16.79,16.9,17.02,10
10/05/2011,16.9,16.9,17.02,10
11/05/2011,16.9,16.9,17.02,10
12/05/2011,16.9,17.02,17.02,10
13/05/2011,17.02,17.17,17.17,10
16/05/2011,17.17,17.2,17.17,10
17/05/2011,17.2,17.2,17.17,10
18/05/2011,17.2,17.2,17.17,10
19/05/2011,17.2,17.2,17.17,10
20/05/2011,17.2,17.31,17.31,10
23/05/2011,17.31,17.31,17.31,10
24/05/2011,17.31,17.31,17.31,10
26/05/2011,17.31,17.31,17.31,10
27/05/2011,17.31,17.31,17.31,10
30/05/2011,17.31,17.31,17.31,10
31/05/2011,17.31,17.31,17.31,10
01/06/2011,17.31,17.31,17.31,10
02/06/2011,17.31,17.31,17.31,10
03/06/2011,17.31,17.31,17.31,10
06/06/2011,17.31,17.5,17.31,10
07/06/2011,17.5,17.5,17.31,10
08/06/2011,17.5,17.5,17.31,10
09/06/2011,17.5,17.5,17.31,10
10/06/2011,17.5,17.5,17.31,10
13/06/2011,17.5,17.5,17.31,10
14/06/2011,17.5,17.5,17.5,10
15/06/2011,17.5,17.5,17.5,10
16/06/2011,17.5,17.5,17.5,10
17/06/2011,17.5,17.5,17.5,10
20/06/2011,17.5,17.52,17.52,10
21/06/2011,17.52,17.52,17.52,10
22/06/2011,17.52,17.61,17.61,10
23/06/2011,17.61,17.61,17.61,10
24/06/2011,17.61,17.67,17.67,10
27/06/2011,17.67,17.8,17.8,10
28/06/2011,17.8,17.8,17.8,10
29/06/2011,17.8,17.8,17.8,10
30/06/2011,17.8,17.8,17.8,10
04/07/2011,17.8,20,20,10
05/07/2011,20,20,20,10
06/07/2011,20,20,20,10
07/07/2011,20,20,20,10
08/07/2011,20,20,20,10
11/07/2011,20,20,20,10
12/07/2011,20,20,20,10
13/07/2011,20,20,20,10
14/07/2011,20,20,20,10
15/07/2011,20,20,20,10
18/07/2011,20,20,20,10
19/07/2011,20,20.07,20.07,10
20/07/2011,20.07,20.07,20.07,10
21/07/2011,20.07,20.07,20.07,10
22/07/2011,20.07,20.07,20.07,10
25/07/2011,20.07,20.07,20.07,10
26/07/2011,20.07,20.07,20.07,10
27/07/2011,20.07,20.07,20.07,10
28/07/2011,20.07,20.07,20.07,10
29/07/2011,20.07,21.13,21.13,10
01/08/2011,21.13,21.16,21.16,10
02/08/2011,21.16,21.16,21.16,10
03/08/2011,21.16,21.16,21.16,10
04/08/2011,21.16,21.28,21.28,10
05/08/2011,21.28,21.81,21.81,10
08/08/2011,21.81,22.04,21.81,10
09/08/2011,22.04,22.04,21.81,10
10/08/2011,22.04,22.04,21.81,10
11/08/2011,22.04,22.04,21.81,10
12/08/2011,22.04,22.04,21.81,10
15/08/2011,22.04,22.09,21.81,10
16/08/2011,22.09,22.2,22.2,10
17/08/2011,22.2,22.28,22.28,10
18/08/2011,22.28,22.36,22.36,10
19/08/2011,22.36,22.41,22.41,10
19/08/2011,22.36,22.41,22.41,10
24/08/2011,22.41,22.51,22.51,10
25/08/2011,22.51,22.51,22.51,10
26/08/2011,22.51,22.59,22.59,10
29/08/2011,22.59,22.59,22.59,10
23/08/2011,22.41,22.41,22.41,10
22/08/2011,22.41,22.41,22.41,10
30/08/2011,22.59,23.13,22.59,10
01/09/2011,23.13,23.13,22.59,10
02/09/2011,23.13,23.2,22.59,10
05/09/2011,23.2,23.23,22.59,10
06/09/2011,23.23,23.23,22.59,10
07/09/2011,23.23,23.23,22.59,10
08/09/2011,23.23,24,24,10
09/09/2011,24,24.84,24.84,10
12/09/2011,24.84,24.84,24.84,10
13/09/2011,24.84,25,24.84,10
14/09/2011,25,25,24.84,10
15/09/2011,25,26,26,10
16/09/2011,26,26.22,26,10
19/09/2011,26.14,26.16,26.14,10
20/09/2011,26.16,26.23,26.23,10
22/09/2011,26.23,29.46,29.46,10
23/09/2011,29.46,30,29.46,10
26/09/2011,30,30,29.46,10
27/09/2011,30,30,29.46,10
28/09/2011,30,30,29.46,10
29/09/2011,30,30,29.46,10
30/09/2011,30,30,29.46,10
03/10/2011,30,30,29.46,10
04/10/2011,30,29.99,30,10
05/10/2011,29.99,28,30,10
06/10/2011,28,28,30,10
07/10/2011,28,27.99,30,10
10/10/2011,27.99,27.5,30,10
11/10/2011,27.5,27.5,30,10
12/10/2011,27.5,27.98,30,10
13/10/2011,27.98,27.98,30,10
14/10/2011,27.98,27.98,30,10
17/10/2011,27.98,27,30,10
18/10/2011,27,27,30,10
19/10/2011,27,27,30,10
20/10/2011,27,26,30,10
21/10/2011,26,26,30,10
24/10/2011,26,26,30,10
25/10/2011,26,25,30,10
26/10/2011,25,24.99,30,10
27/10/2011,24.99,24.99,30,10
28/10/2011,24.99,23,30,10
31/10/2011,23,23,30,10
01/11/2011,23,23,30,10
02/11/2011,23,23,30,10
03/11/2011,23,23,30,10
04/11/2011,23,23,30,10
08/11/2011,23,23,30,10
09/11/2011,23,22,30,10
10/11/2011,22,22,30,10
11/11/2011,22,21,30,10
14/11/2011,21,21,30,10
15/11/2011,21,20,30,10
16/11/2011,20,20,30,10
17/11/2011,20,20,30,10
18/11/2011,20,20,30,10
21/11/2011,20,20,30,10
22/11/2011,20,19.83,30,10
23/11/2011,19.83,19.83,30,10
24/11/2011,19.83,19.83,30,10
25/11/2011,19.83,19.83,30,10
28/11/2011,19.83,19.83,30,10
29/11/2011,19.83,19.83,30,10
30/11/2011,19.83,19.83,30,10
01/12/2011,19.83,19.83,30,10
05/12/2011,19.83,19.83,30,10
06/12/2011,19.83,19.83,30,10
07/12/2011,19.83,19.83,30,10
08/12/2011,19.83,19.83,30,10
09/12/2011,19.83,19.83,30,10
12/12/2011,19.83,19.83,30,10
13/12/2011,19.83,19.83,30,10
14/12/2011,19.83,19.83,30,10
15/12/2011,19.83,19.83,30,10
16/12/2011,19.83,19.83,30,10
19/12/2011,19.83,19.83,30,10
20/12/2011,19.83,19.84,30,10
21/12/2011,19.84,19.84,30,10
22/12/2011,19.84,19.84,30,10
23/12/2011,19.84,19.84,30,10
28/12/2011,19.84,19.84,30,10
29/12/2011,19.84,19.83,30,10
30/12/2011,19.83,19.83,30,10
03/01/2012,19.83,19.83,30,10
04/01/2012,19.83,19.83,30,10
05/01/2012,19.83,19.83,19.83,19.83
06/01/2012,19.83,19.83,19.83,19.83
09/01/2012,19.83,19.83,19.83,19.83
10/01/2012,19.83,19.83,19.83,19.83
11/01/2012,19.83,19.83,19.83,19.83
12/01/2012,19.83,19.83,19.83,19.83
13/01/2012,19.83,19.83,19.83,19.83
16/01/2012,19.83,19.83,19.83,19.83
17/01/2012,19.83,19.83,19.83,19.83
18/01/2012,19.83,19.83,19.83,19.83
19/01/2012,19.83,19.83,19.83,19.83
20/01/2012,19.83,19.83,19.83,19.83
23/01/2012,19.83,19.83,19.83,19.83
24/01/2012,19.83,19.83,19.83,19.83
25/01/2012,19.83,19.83,19.83,19.83
26/01/2012,19.83,19.83,19.83,19.83
27/01/2012,19.83,19.84,19.84,19.83
30/01/2012,19.84,19.86,19.86,19.83
31/01/2012,19.86,21,21,19.83
01/02/2012,21,21,21,19.83
02/02/2012,21,21.1,21.1,19.83
03/02/2012,21.1,21.21,21.21,19.83
06/02/2012,21.21,21.25,21.25,19.83
07/02/2012,21.25,21.26,21.25,19.83
08/02/2012,21.26,21.27,21.27,19.83
09/02/2012,21.27,21.27,21.27,19.83
10/02/2012,21.27,21.27,21.27,19.83
13/02/2012,21.27,21.27,21.27,19.83
14/02/2012,21.27,21.28,21.28,19.83
15/02/2012,21.28,21.28,21.28,19.83
16/02/2012,21.28,21.33,21.33,19.83
17/02/2012,21.33,22.5,22.5,19.83
20/02/2012,22.5,22.5,22.5,19.83
21/02/2012,22.5,23,23,19.83
22/02/2012,23,23,23,19.83
23/02/2012,23,23,23,19.83
24/02/2012,23,23.01,23,19.83
27/02/2012,23.01,23.01,23.01,19.83
28/02/2012,23.01,24.5,24.5,19.83
29/02/2012,24.5,25,25,19.83
01/03/2012,25,25,25,19.83
02/03/2012,25,26,25,19.83
05/03/2012,26,26,25,19.83
07/03/2012,26,26,25,19.83
08/03/2012,26,26.1,26.1,19.83
09/03/2012,26.1,26.1,26.1,19.83
12/03/2012,26.1,26.1,26.1,19.83
13/03/2012,26.1,26.1,26.1,19.83
14/03/2012,26.1,26.1,26.1,19.83
15/03/2012,26.1,26.1,26.1,19.83
16/03/2012,26.1,26.1,26.1,19.83
19/03/2012,26.1,26.11,26.11,19.83
20/03/2012,26.11,26.13,26.11,19.83
21/03/2012,26.13,26.13,26.11,19.83
22/03/2012,26.13,26.15,26.11,19.83
23/03/2012,26.15,26.16,26.16,19.83
26/03/2012,26.16,26.2,26.2,19.83
27/03/2012,26.2,26.2,26.2,19.83
28/03/2012,26.2,26.2,26.2,19.83
29/03/2012,26.2,26.43,26.43,19.83
30/03/2012,26.43,26.5,26.43,19.83
02/04/2012,26.5,26.5,26.43,19.83
03/04/2012,26.5,26.5,26.43,19.83
04/04/2012,26.5,27,27,19.83
05/04/2012,27,27,27,19.83
10/04/2012,27,27,27,19.83
11/04/2012,27,27,27,19.83
12/04/2012,27,27,27,19.83
13/04/2012,27,27,27,19.83
16/04/2012,27,27,27,19.83
17/04/2012,27,27,27,19.83
18/04/2012,27,27,27,19.83
19/04/2012,27,27,27,19.83
20/04/2012,27,26.97,27,19.83
23/04/2012,26.97,26.97,27,19.83
24/04/2012,26.97,26.97,27,19.83
25/04/2012,26.97,27,27,19.83
26/04/2012,27,26.14,27,19.83
27/04/2012,26.14,26.14,27,19.83
30/04/2012,26.14,26.14,27,19.83
02/05/2012,26.14,26.14,27,19.83
03/05/2012,26.14,26.14,27,19.83
04/05/2012,26.14,26.14,27,19.83
07/05/2012,26.14,26.14,27,19.83
08/05/2012,26.14,26.1,27,19.83
09/05/2012,26.1,26.1,27,19.83
10/05/2012,26.1,26.05,27,19.83
11/05/2012,26.05,25,27,19.83
