Date,High,Low,Open,Close
27/05/2011,0.33,0.28,0.32,0.32
30/05/2011,0.33,0.28,0.32,0.33
31/05/2011,0.33,0.28,0.33,0.32
01/06/2011,0.33,0.28,0.32,0.32
02/06/2011,0.33,0.28,0.32,0.32
03/06/2011,0.33,0.28,0.32,0.32
06/06/2011,0.33,0.28,0.32,0.32
07/06/2011,0.33,0.28,0.32,0.31
08/06/2011,0.33,0.28,0.31,0.31
09/06/2011,0.33,0.28,0.31,0.3
10/06/2011,0.33,0.28,0.3,0.3
13/06/2011,0.33,0.28,0.3,0.31
14/06/2011,0.33,0.28,0.31,0.31
15/06/2011,0.33,0.28,0.31,0.3
16/06/2011,0.33,0.28,0.3,0.3
17/06/2011,0.33,0.28,0.3,0.3
20/06/2011,0.33,0.28,0.3,0.3
21/06/2011,0.33,0.28,0.3,0.31
22/06/2011,0.33,0.28,0.31,0.31
23/06/2011,0.33,0.28,0.31,0.31
24/06/2011,0.33,0.28,0.31,0.32
27/06/2011,0.33,0.28,0.32,0.31
28/06/2011,0.33,0.28,0.31,0.31
29/06/2011,0.33,0.28,0.31,0.31
30/06/2011,0.33,0.28,0.31,0.31
04/07/2011,0.33,0.28,0.31,0.31
05/07/2011,0.33,0.28,0.31,0.31
06/07/2011,0.33,0.28,0.31,0.31
07/07/2011,0.33,0.28,0.31,0.31
08/07/2011,0.33,0.28,0.31,0.31
11/07/2011,0.33,0.28,0.31,0.31
12/07/2011,0.33,0.28,0.31,0.31
13/07/2011,0.33,0.28,0.31,0.31
14/07/2011,0.33,0.28,0.31,0.31
15/07/2011,0.33,0.28,0.31,0.31
18/07/2011,0.33,0.28,0.31,0.31
19/07/2011,0.33,0.28,0.31,0.31
20/07/2011,0.33,0.28,0.31,0.31
21/07/2011,0.33,0.28,0.31,0.31
22/07/2011,0.33,0.28,0.31,0.31
25/07/2011,0.33,0.28,0.31,0.31
26/07/2011,0.33,0.28,0.31,0.31
27/07/2011,0.33,0.28,0.31,0.31
28/07/2011,0.33,0.28,0.31,0.31
29/07/2011,0.33,0.28,0.31,0.31
01/08/2011,0.33,0.28,0.31,0.31
02/08/2011,0.33,0.28,0.31,0.31
03/08/2011,0.33,0.28,0.31,0.31
04/08/2011,0.33,0.28,0.31,0.32
05/08/2011,0.33,0.28,0.32,0.32
08/08/2011,0.33,0.28,0.32,0.32
09/08/2011,0.33,0.28,0.32,0.31
10/08/2011,0.33,0.28,0.31,0.31
11/08/2011,0.33,0.28,0.31,0.31
12/08/2011,0.33,0.28,0.31,0.31
15/08/2011,0.33,0.28,0.31,0.3
16/08/2011,0.33,0.28,0.3,0.3
17/08/2011,0.33,0.28,0.3,0.31
18/08/2011,0.33,0.28,0.31,0.31
19/08/2011,0.33,0.28,0.31,0.31
19/08/2011,0.33,0.28,0.31,0.31
24/08/2011,0.33,0.28,0.31,0.31
25/08/2011,0.33,0.28,0.31,0.32
26/08/2011,0.33,0.28,0.32,0.32
29/08/2011,0.33,0.28,0.32,0.31
23/08/2011,0.33,0.28,0.32,0.31
22/08/2011,0.33,0.28,0.31,0.32
30/08/2011,0.33,0.28,0.31,0.32
01/09/2011,0.33,0.28,0.32,0.31
02/09/2011,0.33,0.28,0.31,0.31
05/09/2011,0.33,0.28,0.31,0.31
06/09/2011,0.33,0.28,0.31,0.32
07/09/2011,0.33,0.28,0.32,0.32
08/09/2011,0.33,0.28,0.32,0.31
09/09/2011,0.33,0.28,0.31,0.31
12/09/2011,0.33,0.28,0.31,0.31
13/09/2011,0.33,0.28,0.31,0.31
14/09/2011,0.33,0.28,0.31,0.31
15/09/2011,0.33,0.28,0.31,0.32
16/09/2011,0.33,0.28,0.32,0.32
19/09/2011,0.33,0.28,0.31,0.31
